domain,type,original_reference
*cylm.jh56.cn,malicious,www.mwsl.org.cn/
*0571zxw.com,malicious,www.mwsl.org.cn/
*17so.so,malicious,www.mwsl.org.cn/
*adheb.com,malicious,www.mwsl.org.cn/
*ssartpia.or.kr,attackpage,safebrowsing.google.com
*51156434.swh.strato-hosting.eu,attackpage,www.google.com/safebrowsing
*alsera.de,attackpage,www.google.com/safebrowsing
*apextechnotools.com,attackpage,www.google.com/safebrowsing
*avtobanka.ru,attackpage,www.google.com/safebrowsing
*avtobaraxlo.ru,attackpage,www.google.com/safebrowsing
*bgs.qhedu.net,attackpage,www.google.com/safebrowsing
*flipvine.com,attackpage,www.google.com/safebrowsing
*googleleadservices.cn,attackpage,www.google.com/safebrowsing
*wenn88.com,attackpage,www.google.com/safebrowsing
*yiduaner.cn,attackpage,www.google.com/safebrowsing
*ads.mail3x.com,attackpage,www.google.com/safebrowsing
*sunggysus.com,attackpage,safebrowsing.google.com
*thelrein.com,attackpage,safebrowsing.google.com
*uci.securesoft.info,attackpage,safebrowsing.google.com
*scuolaartedanza.net,iframe,labs.sucuri.net
*dl.bzgthg.com,malicious,www.mwsl.org.cn/
*archtopmakers.com,malicious,app.webinspector.com/
*biggeorge.com,malicious,app.webinspector.com/
*www.andrewmelchior.com,malicious,app.webinspector.com/
*down.tututool.com,malicious,www.mwsl.org.cn/
*moblao.com,malicious,labs.sucuri.net/
*zagga.in,malicious,labs.sucuri.net/
*goog1eanalitics.pw,redirect,malware-traffic-analysis.net/
*9523cc.com,attackpage,safebrowsing.google.com
*andrewmelchior.com,attackpage,safebrowsing.google.com
*anzhuo6.com,malicious,www.mwsl.org.cn
*e-lena.de,malicious,safebrowsing.clients.google.com
*igmarealty.ru,malicious,safebrowsing.clients.google.com
